slug,year,year_label,project,value_chain,status,category,note
kmc-bus-ev-plant-operational,2025,Sept 2025,KMC Bus & EV Plant operational,Automotive,complete,Manufacturing,"Output 2,500 vehicles/yr today; target 10,000+/yr by 2040 plus regional EV-bus supply"
kilembe-copper-cobalt-psa-signed,2025,3 Mar 2025,Kilembe Copper-Cobalt PSA signed,Copper & Allied Metals,in_progress,Minerals,Sarrai Group + Nile Fibreboard signed the production sharing agreement; mine still dormant pending development capital
kabaale-refinery-psa-signed,2025,Mar 2025,Kabaale Refinery PSA signed,Petrochemicals & Fertilizers,in_progress,Infrastructure,"Alpha MBM Investments (UAE) + UNOC (~40% stake); USD 4bn, 60,000 bpd; first oil expected ~2029-30"
kakira-sugar-ethanol-plant-commissioned,2025,2025,Kakira Sugar ethanol plant commissioned,Sugar & Confectionery,complete,Manufacturing,Shs130bn (~USD 36.6m) plant built with India's Praj Industries; 20 million litres/year fuel-grade ethanol from molasses — feeds the national E5 blending mandate
buikwe-clinker-plant-west-international-,2025,2025,Buikwe clinker plant (West International Holding),Cement & Building Materials,in_progress,Manufacturing,"USD 200m investment; ~4,000 tonnes/day capacity — part of closing the clinker self-sufficiency gap from <50% toward >90%"
kabalega-industrial-park-substation-airp,2025,Q4 2025,Kabalega Industrial Park substation & airport,Petrochemicals & Fertilizers,in_progress,Infrastructure,"240MW substation under construction; Kabalega International Airport ~95% complete. UNOC has attracted 31 investors across petrochemicals, logistics and agro-processing"
pharma-starch-plant-commissioned,2025,~2025,Pharma starch plant commissioned,Pharmaceuticals,complete,Manufacturing,"USD 50m plant for excipient self-reliance, reducing import dependence on raw materials for medicine manufacturing — complements UPMI's new pharma plant pipeline"
lira-spinning-mill-revival-proposed,2025,2025,Lira Spinning Mill revival proposed,Textiles & Garments,proposed,Manufacturing,Lango MPs and President Museveni have called for reviving Africa's former 2nd-largest yarn mill (historical USD 24m + USD 13m Chinese investment); no confirmed new funding as of 2026
sukulu-phosphate-plant-stalled,2025,2025,Sukulu Phosphate Plant stalled,Petrochemicals & Fertilizers,stalled,Minerals,"Guangzhou Dongsong's 100,000 tpa Tororo plant shut 2021, briefly resumed 2023, halted again — the single biggest risk to the 1.5-2m tonne fertiliser demand target"
ne-uganda-clinker-plant-under-constructi,2026,2025-26,NE Uganda clinker plant under construction,Cement & Building Materials,in_progress,Manufacturing,"USD 300m investment; >6,000 tonnes/day — Uganda's largest single clinker investment to date"
devki-tororo-steel-mill-production-start,2027,end 2027,Devki Tororo Steel Mill production start,Iron & Steel,in_progress,Manufacturing,"USD 500m blast-furnace mill; groundbreaking 23 Nov 2025 attended by Presidents Museveni, Ruto and Kagame; 1 million tonnes/year, ~15,000 direct jobs — Uganda's first domestic flat/long steel production at scale"
kabaale-refinery-first-oil,2029,~2029-30,Kabaale Refinery first oil,Petrochemicals & Fertilizers,planned,Infrastructure,Enables domestic fuel and polymer feedstock — unlocks the Plastics & Packaging chain
ndp-iv-target-horizon,2030,FY2029/30,NDP IV target horizon,All chains,milestone,Policy,Manufacturing share of GDP target 21%; capacity utilisation target 60%
kabalega-petrochemical-park-polymer-resi,2031,~2031,Kabalega Petrochemical Park polymer resin operational,Plastics & Packaging,planned,Infrastructure,Domestic polymer resin ends 100% import dependency on plastics feedstock — park targets USD 5bn/year in throughput
tenfold-growth-target-horizon,2040,2040,Tenfold Growth target horizon,All chains,milestone,Policy,Manufacturing share of GDP target 30%; GDP ~USD 500B; capacity utilisation 80%
