name,chain,lat,lng,loc,products,capacity_installed,capacity_utilised,employees,est,ownership,exports
Tembo Steels,Iron & Steel,0.383,32.917,"Lugazi, Buikwe District","Steel billets, TMT/rebar, wire rod, structural sections, O₂/N₂ cylinders","200,000 tpa rolling mill; 250,000 tpa DRI (Iganga plant)",Operational,"~1,600 direct; ~3,000 ecosystem",2001,Sanjay Awasthi (Chairman) — Indian-Ugandan private,East Africa
Abyssinia Iron & Steel,Iron & Steel,0.448,33.204,Jinja,"Steel billets, hot-rolled coil/rod, wire products, welding rods","225,000 tpa billets",Operational since Oct 2024,"250 direct; ~1,200 indirect",2024,"Abyssinia Group of Industries (AGI) — Jateen Patel family, Kenya/Ethiopia",East Africa
Roofings Rolling Mills,Iron & Steel,0.317,32.72,"Namanve Industrial Park, Kampala","Steel billets, TMT bars, wire rod, structural sections, galvanised products","250,000 tpa (3 production units)",Operational,"~2,250 direct",2013,Roofings Group — Lalani family (Ugandan/South Asian); 10% Yodogawa Steel Works (Japan),East & Central Africa
Roofings Ltd,Iron & Steel,0.249,32.548,"Lubowa, Wakiso District","Galvanised & pre-painted roofing sheets, steel pipes, polypipes, structural steel","160,000 tpa cold-forming plant",Operational,">2,000 group-wide",1994,Roofings Group — Sikander Lalani family (Ugandan/South Asian),East & Central Africa
Steel & Tube Industries,Iron & Steel,0.321,32.724,"Namanve Industrial Park, Kampala","TMT rebars, wire rod, nails, fencing wire, angles, pipes",">300,000 tpa installed",~43% utilisation,">1,080",2006,"Steel & Tube Industries Ltd (STIL) — Joseph Yiga (Chairman), Ugandan private",East Africa
Uganda Baati,Iron & Steel,0.308,32.589,Kampala,"Galvanised, Al-Zn coated and pre-painted roofing sheets, stone-coated tiles",—,Operational,—,1964,Safal Group (Aga Khan Fund for Economic Development / IPS) — Pan-African,East Africa
Devki Steel Mill (under construction),Iron & Steel,0.319,32.716,"Namanve Industrial Park, Kampala","Integrated steel — billets, bars, sections (blast furnace route)","1,000,000 tpa planned at full capacity",Under construction — groundbreaking Nov 2025,"15,000 projected at start-up",2025,Devki Group — Dr Narendra Raval family (Kenya); USD 500 m project,East Africa (planned)
SINO Minerals — Iron Ore,Iron & Steel,-1.254,29.988,Kabale District,"Iron ore, pig iron processing",~30 m tonne ore reserve @ 58% Fe; USD 34 m plant,Partial / under development,">1,000 projected",2011,Sino Minerals Investments Co. Ltd — Chinese nationals (Li Bin et al.),—
MM Integrated Steel Mills (MMI Steels),Iron & Steel,0.426,33.22,"Masese/Walukuba, Jinja","TMT bars, roofing sheets, wire rod, structural steel","~50,000 tpa (Uganda plant); 350,000 tpa group aggregate",Operational,—,2013,Motisun Group — Tanzania-based private conglomerate,East Africa
Steel Rolling Mills Ltd (Alam Group),Iron & Steel,0.423,33.216,"Masese Road, Jinja","High-tensile steel profiles, sections, bars",—,Operational,"~2,500 (peak; significant layoffs reported 2019–21)",1987,"Alam Group of Companies — Uganda, South Asian-origin",East Africa
Pramukh Steel Ltd,Iron & Steel,0.418,33.183,"Njeru, Buikwe District","TMT/ribbed bars, round/square bars, binding wire",">80,000 tpa",Operational,—,2007,"Indian-origin private; initial investment USD 5 m, grown to USD 20 m","Kenya, Rwanda, DRC, Burundi, South Sudan"
Yogi Steels Ltd,Iron & Steel,0.416,33.181,"Njeru, Buikwe District","TMT bars, round/flat/angle bars, nails, binding wire",">51,000 tpa",Operational,—,2012,Alpesh Patel (Managing Director) — Indian-origin private,"Kenya, Rwanda, DRC, Burundi, South Sudan"
MPower Steel Company Ltd,Iron & Steel,0.342,32.695,Kira Municipality / Namanve area,TMT steel bars (Thermax German technology),—,Operational,—,2020,"MPower Group — interests across energy, steel and Africa/Asia",—
Starfly Steel (Uganda) Co. Ltd,Iron & Steel,0.35,32.71,"Seeta, Mukono District","Hot-rolled coil/plate, H-beam, channel, angle steel, welding rod",Processing & distribution centre (not integrated mill),665 export shipments recorded,—,2020,Chinese-founded; CEO Joseph Kaggwe,Regional
Elgon Steel Uganda Ltd (under construction),Iron & Steel,1.084,34.178,Sino-Uganda Mbale Industrial Park,Steel (product mix not yet announced),—,Under construction,—,2024,Chinese investor — Sino-Uganda Mbale Industrial Park,—
BM Investments Ltd,Iron & Steel,-0.605,30.662,Mbarara,"Wire nails, fencing wire, transmission poles, timber products","15,600 electrical poles p.a.; 250,000 fencing poles p.a.",Operational,—,1984,Francis Mwebesa (Chairman) — Ugandan private,—
CMIC Steel Plant,Iron & Steel,-0.62,30.65,Mbarara District,Iron and steel products,USD 100 m integrated iron ore + steel plant (announced),Partial / limited operations,—,2012,CMIC — China Machine Building International Corporation (state-linked),—
Unisteel Investments Uganda Ltd,Iron & Steel,1.077,34.172,Sino-Uganda Mbale Industrial Park,Steel bars and sections,"700,000 tpa","500 employees at commissioning; 3,000 projected",500 (at launch 2024),2024,Xu Shicun (Chinese investor) — USD 100 m investment,East Africa (planned)
