slug,term,definition
ndp-iv,NDP IV,Fourth National Development Plan (FY2025/26–FY2029/30) — Uganda's current medium-term development strategy
pcp,PCP,Programme for Country Partnership — the UNIDO framework structuring this diagnostic study
atms,ATMs,Agriculture
tenfold-growth-strategy,Tenfold Growth Strategy,Uganda's ambition to grow the economy roughly tenfold by 2040 through manufacturing and value addition
hs-code,HS Code,Harmonized System code — the international standard used to classify traded goods (used throughout TradeMap figures)
trademap,TradeMap,ITC TradeMap — the International Trade Centre's database of bilateral trade statistics by HS code
ubos,UBOS,Uganda Bureau of Statistics — the national statistics office; source of GDP and national accounts data
ura,URA,Uganda Revenue Authority — source of tax-by-sector figures
bou,BoU,Bank of Uganda — the central bank; source of trade and private-sector credit statistics
era,ERA,Electricity Regulatory Authority — source of electricity consumption/sales data
unido,UNIDO,United Nations Industrial Development Organization
kmc,KMC,Kiira Motors Corporation — Uganda's state-backed vehicle assembler (buses
qcil,QCIL,Quality Chemical Industries Limited — Uganda's flagship pharmaceutical manufacturer
scm,SCM,Supplementary Cementitious Material — industrial by-products (e.g. steel slag) used to extend cement
eac,EAC,East African Community — the regional trade bloc Uganda belongs to
mtpa,Mtpa,Million tonnes per annum — a standard unit for industrial production capacity
capacity-utilisation,Capacity Utilisation,The share of installed industrial capacity actually being used in production
value-chain,Value Chain,The full sequence of activities — from raw material through processing to final product — for a given industry
downstream,Downstream,Closer to the final consumer product in a value chain (e.g. rebar fabrication from imported steel)
upstream,Upstream,Closer to the raw material end of a value chain (e.g. iron ore mining
import-substitution,Import Substitution,Replacing imported goods with domestically manufactured equivalents
psa,PSA,Production Sharing Agreement — the contract type used for the Kilembe copper-cobalt revival
who-gmp,WHO-GMP,World Health Organization Good Manufacturing Practice — the quality certification standard for pharmaceutical plants
api,API,Active Pharmaceutical Ingredient — the core chemical compound in a medicine
bagasse,Bagasse,The fibrous residue left after extracting juice from sugarcane — used as a fuel for co-generation
vinasse,Vinasse,A liquid by-product of sugar/ethanol production — can be processed into bio-fertiliser
eaf,EAF,Electric Arc Furnace — a low-carbon steelmaking process well-suited to Uganda's hydro-powered grid
